


Sentence : Possible Connections
Based on the specially crafted documents we were able to gather,
Operation Tropic Trooper has been active since 2012. We have seen
malware samples from 2011 that behaved the same way and used
similar file markers. [13]
The following table provides more detailed information on Operation
Tropic Trooper’s downloader, TROJ_YAHOYAH.
|SHA-1 Hash|Campaign ID Hard-Coded into Malware|
|---|---|
|17ee08b92aeefb8d3d73a02beb03e634b453b5fe|PH4.0 Q20121012|
|3a8bed630679a30c8f945a7f9fe9eef18dd18ef8|PH4.0 Q20131218|
|3ff3519749764f64f5f208347f39bd77f7e2fa92|PH4.0 Q20130527|
|47747dccd1fc57a6456cf2a06d654966193545e5|PH4.0 Q20120730|
|542ca28d4154e4e4382f9dfe4e0C37983046e93d|PH4.0 Q20131218|
|56680180af5a792dca8e6112c57810b5e06bca1b|PH4.0 Q20120730|
|593ab027f90d8651e685581b8f09d87a2c95f244|PH4.0 Q20140723|
|5c5a4ceea45c3f0e67085b9d323da13eedcf6e1b|PH4.0 Q20121012|
|6099001d54d39bcdd7c874672e8b28789e79721f|PH4.0 Q20121012|
|7d5fd316f12ff39e5a9b43dabd66eccdcdb164e7|PH4.0 Q20141104|
12 | Page © 2015 Trend Micro Incorporated
Operation Tropic Trooper Research Paper
|SHA-1 Hash|Campaign ID Hard-Coded into Malware|
|---|---|
|973e522edeb08bea948098ce7c8b83866857de9c|PH4.0 Q20130527|
|aef101fb24bd39e3cc14c26796c0336f2cb1d540|PH4.0 Q20131218|
|b1fdb46cbe73cc14f784bebac47e33606b259967|PH4.0 Q20121012|
|b767e1325bf103e672183e9487093ac068b75bc8|PH4.0 Q20140723|
|ba71031ec0dccf09fbc48af61a22e5faa6b055a4|PH4.0 Q20140910|
|bb8fddcd993a3ca94c6dd583f36df76bb5227ca5|PH4.0 Q20130527|
|c4ae20ef0a90f095a88a9ea9920e97733a4d5626|PH4.0 Q20141104|
|d50c657ff3068bd03ef74cfa5a289bbda87f33ef|PH4.0 Q20121012|
|f8ac7ccf99485f485a435e05420bf3c103a3a549|PH4.0 Q20131218|
13 | Page © 2015 Trend Micro Incorporated
Output : 
{
    "nodes": [
        {"id": 1, "description": "Operation Tropic Trooper", "type": "ACTO"},
        {"source": 14, "target": 4, "rel_name": "has_campaign_id"},
        {"source": 15, "target": 6, "rel_name": "has_campaign_id"},
        {"source": 16, "target": 7, "rel_name": "has_campaign_id"},
        {"source": 17, "target": 3, "rel_name": "has_campaign_id"},
        {"source": 18, "target": 3, "rel_name": "has_campaign_id"},
        {"source": 19, "target": 8, "rel_name": "has_campaign_id"},
        {"source": 20, "target": 5, "rel_name": "has_campaign_id"},
        {"source": 21, "target": 4, "rel_name": "has_campaign_id"},
        {"source": 22, "target": 3, "rel_name": "has_campaign_id"},
        {"source": 23, "target": 7, "rel_name": "has_campaign_id"},
        {"source": 24, "target": 9, "rel_name": "has_campaign_id"},
        {"source": 25, "target": 5, "rel_name": "has_campaign_id"},
        {"source": 26, "target": 8, "rel_name": "has_campaign_id"},
        {"source": 27, "target": 3, "rel_name": "has_campaign_id"},
        {"source": 28, "target": 4, "rel_name": "has_campaign_id"}
    ]
}
