


Sentence : 四、 域名变换
为了隐藏自己的真实身份，OceanLotus 组织经常变换下载服务器和 C2
服务器的域名和 IP。统计显示，在过去的 3 年中，该组织至少使用了 C2 服
务器域名 35 个，相关服务器 IP 地址 19 个。而且大多数域名为了抵抗溯源
9
~~OceanLotus — 数字海洋的游猎者~~
都开启了 Whois 域名隐藏，使得分析人员很难知道恶意域名背后的注册者是
谁。下图给出了 OceanLotus 注册各个域名时间点信息。
通过对攻击活动相关域名的统计，我们按注册时间的先后顺序对各个域
名做了排序。时间线疏密程度显示该组织在 2014 年 2 月至 2014 年 4 月申请
了大量的新域名。域名的生命周期如下图所示：
这些恶意域名的注册地和服务器也分布在世界各地。从注册地来看，最
大的注册地是巴哈马 10 个，其次是美国 4 个，尼日利亚 3 个。从服务器实
际所在地来看，美国和乌克兰最多，各 5 个，其次是瑞典 4 个，以色列 3 个。
10
按时间先后顺序排列，部分较活跃的域名详情如下：
|域名|绑定IP|注册时间|用途|
|---|---|---|---|
|pad.werzo.net|185.29.8.39|2012/4/17|C2，Mac OS|
|shop.ownpro.net|185.29.8.39|2012/4/17|C2，Mac OS|
|ssl.sfashi.com|176.31.22.77|2012/11/7|C2|
|kiifd.pozon7.net|173.208.157.117|2013/1/8|C2，Mac OS|
|cdn.libjs.co|62.113.238.135|2013/9/6|C2|
|sin04s01.listpaz.com|193.169.244.73|2013/11/12|C2|
|high.expbas.net|91.229.77.179|2014/1/22|C2|
|img.fanspeed.net||2014/2/8|C2|
|active.soariz.com|193.169.244.73|2014/2/20|C2|
|zone.mizove.com|193.169.244.73|2014/2/20|C2|
|dc.jaomao69.info|146.0.43.107|2014/3/14|Downloader|
|cdn.jaomao69.info|146.0.43.107|2014/3/14|C2|
|download.mail-attach.net||2014/4/2|Downloader|
|cnf.flashads.org|128.127.106.243|2014/4/3|钓鱼服务器|
|cn.flashads.org|128.127.106.243|2014/4/3|钓鱼服务器， Downloader，DNS|
|cv.flashads.org|128.127.106.243|2014/4/3|钓鱼服务器|
|cp.flashads.org|128.127.106.243|2014/4/3|钓鱼服务器|
|fpdownload.shockwave.flashads.org|128.127.106.243|2014/4/3|Downloader|
|authen.mail.hairunaw.com.l.main.userapp.org|192.187.120.45|2014/4/8|Downloader|
|jsquery.net|64.62.174.176|2014/4/8|C2|
|gs.kroger7.net|167.114.184.117|2014/5/16|C2|
|autoupdate.adobe.com|||通过域名劫持伪造的Adobe 子域名，用于绕过安全检查措施，更新受感染系统上的恶意程序|
11
~~OceanLotus — 数字海洋的游猎者~~
Output : 
{
    "nodes": [
        {"id": 1, "description": "OceanLotus", "type": "ACTO"},
        {"source": 16, "target": 12, "rel_name": "binds_to"},
        {"source": 17, "target": 12, "rel_name": "binds_to"},
        {"source": 18, "target": 19, "rel_name": "binds_to"},
        {"source": 20, "target": 19, "rel_name": "binds_to"},
        {"source": 22, "target": 23, "rel_name": "binds_to"},
        {"source": 24, "target": 23, "rel_name": "binds_to"},
        {"source": 25, "target": 23, "rel_name": "binds_to"},
        {"source": 26, "target": 23, "rel_name": "binds_to"},
        {"source": 28, "target": 29, "rel_name": "binds_to"},
        {"source": 30, "target": 31, "rel_name": "binds_to"},
        {"source": 32, "target": 33, "rel_name": "binds_to"},
        {"source": 1, "target": 35, "rel_name": "registered_in"},
        {"source": 1, "target": 36, "rel_name": "registered_in"},
        {"source": 1, "target": 37, "rel_name": "registered_in"},
        {"source": 1, "target": 36, "rel_name": "server_located_in"},
        {"source": 1, "target": 38, "rel_name": "server_located_in"},
        {"source": 1, "target": 39, "rel_name": "server_located_in"},
        {"source": 1, "target": 40, "rel_name": "server_located_in"}
    ]
}
